Perenniality,Woodiness,Genome_size,Pollination_wind,Pollination_insect,Pollination_self,Drought_tolerance,Salinity_tolerance,Disease_resistance,hybridization_success
0,0,4.663879572302683,1,1,0,0.648256954077822,0.03879945472888746,0.7202679239473956,1
1,0,4.457703187007997,1,1,0,0.17238636210516622,0.18677252823112933,0.6872830044131277,1
1,1,13.687564127294515,0,1,1,0.8723945633548149,0.8312458050899425,0.09575419866335766,1
1,1,4.493646797893085,1,0,0,0.6131162390692415,0.7667683563383357,0.9225724049058001,1
0,1,4.8072961658008335,0,0,1,0.15720388355695425,0.3506426914571469,0.5684722021568196,1
0,0,11.631575673851492,1,0,0,0.9623380574812068,0.3768106277742125,0.36372552113568424,0
0,0,7.29635779430756,1,0,1,0.5183654633353206,0.5335544335535795,0.7565385834953067,0
1,1,11.873947797372537,0,0,1,0.072898451871655,0.0002410046851345493,0.25736545840163405,1
1,0,1.9151262059013934,1,1,0,0.6268329044150672,0.24124433603802786,0.6935098370463204,1
1,0,7.82599671142738,0,0,0,0.2531989070128102,0.20823180860821444,0.03971120757224722,1
0,0,1.4705904025659569,0,0,0,0.8036934518773025,0.25048294674976346,0.839408037609272,0
1,1,1.8771448483749633,0,0,1,0.8178220735661906,0.8059058425334413,0.4481708470213185,1
1,1,13.690124346821753,0,1,0,0.9789473558546619,0.27967385654644317,0.6366929143579417,1
0,0,2.9494351956463323,0,0,0,0.5018695310245037,0.19152132205014816,0.22123781980668367,0
0,1,8.45388955185304,1,1,0,0.45495687972773713,0.5042634607930315,0.677073712658448,1
0,1,6.755338436409891,0,0,0,0.7534756054464806,0.8656450363727319,0.7722402758932766,0
0,0,5.862806567623798,1,1,0,0.13247065634192656,0.24134970383749987,0.47321318688439873,0
1,0,13.597666839621814,0,1,0,0.5469155137931242,0.0785362427927987,0.6177269240617943,1
1,1,1.305527554856853,0,0,0,0.5462476001308509,0.3564047358496647,0.45632592382239856,1
0,0,10.293055606458248,1,0,1,0.08947312281038722,0.7476518245649778,0.8940913692578455,1
1,0,14.487522078989706,0,0,0,0.41798408550691357,0.5506905446947946,0.49786918051431917,1
0,0,8.842354568465787,0,0,0,0.853284798567202,0.8167933695743474,0.8418087090288189,1
0,1,14.115514468463285,1,1,1,0.8561536219946603,0.959592147609234,0.8013520582702486,1
0,1,1.7316103100043327,0,1,1,0.099237664919681,0.792662476751617,0.41050482134835653,0
1,1,6.86310646703826,0,1,1,0.09072088274783086,0.6038030788437534,0.23008449185747504,1
1,0,4.642209073468717,0,1,0,0.2626954770019353,0.4933415880523805,0.406082132559771,1
0,1,11.231493509730218,1,0,0,0.8747660625539935,0.04006908634826667,0.8262173757752201,1
1,1,14.738159266961453,1,0,0,0.12890258507349894,0.9843219788140413,0.22763253581939236,1
1,0,4.5914208742194695,1,1,1,0.7199968026274463,0.3834811225750425,0.5244363458577493,1
0,1,10.158444420637043,1,0,0,0.10116561961310322,0.1522282139168668,0.8060967479607475,1
1,0,3.773366858636362,0,1,0,0.6231378537478254,0.6667088553964567,0.3534774751283788,0
0,0,8.91462356400254,0,0,0,0.3560672991191448,0.28428828909545933,0.6422096370026974,1
0,0,7.495054813636707,1,0,0,0.788913962965867,0.5857782709310476,0.24563157404881453,1
1,0,14.608074614841518,0,1,0,0.2336904488253636,0.5867679078445912,0.10927944536815992,0
1,0,9.519381817750531,0,0,0,0.6392018293899598,0.44572982090286917,0.7943842250928563,1
1,0,5.8930892092154625,0,1,0,0.23568253457588495,0.8361186155450426,0.09896862340870682,0
